No,Institution_name,Item_desp,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num
23760,Western Cape - Health,Human resources-services,IMMPLOY RECRUITMENT AGENCY,0,"20,686.20",1,0,8/5/2021,"R20,686.20",13/08/2021,"R20,686",20686,20686.2
23761,Western Cape - Health,Human resources-services,IMMPLOY RECRUITMENT AGENCY,0,"11,032.64",1,0,8/5/2021,"R11,032.64",17/09/2021,"R11,033",11033,11032.64
23762,Western Cape - Health,Human resources-services,IMMPLOY RECRUITMENT AGENCY,0,"8,000.00",1,0,8/5/2021,"R8,000.00",30/09/2021,"R8,000",8000,8000
23770,Western Cape - Health,Other,FRONTLINE OFFICE SUPPLIES,0,"4,290.00",1,0,8/5/2021,"R4,290.00",27/08/2021,"R4,290",4290,4290
23771,Western Cape - Health,Other,FRONTLINE OFFICE SUPPLIES,0,"8,899.00",2,0,8/5/2021,"R17,798.00",27/08/2021,"R17,798",17798,17798
23772,Western Cape - Health,Other,MAMBOS PLASTICS WAREHOUSE,"BIN,WASTE , PLASTIC ROUND, 250MM X 250MM",84,60,0,8/5/2021,"R5,040.00",27/08/2021,"R5,040",5040,5040
23773,Western Cape - Health,Other,MAMBOS PLASTICS WAREHOUSE,"TABLE , 6 FT, RECTANGLE, WHITE, PLASTIC, 182.5CM X 76CM X 74CM",699.99,50,0,8/5/2021,"R34,999.50",27/08/2021,"R35,000",35000,34999.5
23774,Western Cape - Health,Other,FRONTLINE OFFICE SUPPLIES,"TABLE , CAFE, CANTEEN, JUPITER ROUND, ALUMINIUM TOP, 4 STEEL POLE LEGS, 900MM DIAMETER","1,450.00",4,0,8/5/2021,"R5,800.00",27/08/2021,"R5,800",5800,5800
23775,Western Cape - Health,Other,FRONTLINE OFFICE SUPPLIES,"TOASTER , 2 SLICE, STAINLESS STEEL, WHITE",465,1,0,8/5/2021,R465.00,27/08/2021,R465,465,465
23776,Western Cape - Health,Other,FRONTLINE OFFICE SUPPLIES,"TOASTER , SANDWICH PRESS, 2 SLICE, FLAT NON STICK COATED PLATES",899,1,0,8/5/2021,R899.00,27/08/2021,R899,899,899
23777,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS,  ADDITIONAL 15 MINUTES",270.69,50,0,8/5/2021,"R13,534.50",27/08/2021,"R13,535",13535,13534.5
23778,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS,  ADDITIONAL 15 MINUTES",270.69,63,0,8/5/2021,"R17,053.47",27/08/2021,"R17,053",17053,17053.47
23779,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS,  ADDITIONAL 15 MINUTES",270.69,72,0,8/5/2021,"R19,489.68",20/08/2021,"R19,490",19490,19489.68
23780,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS, 1-100 KM / 1-60 MINUTES","1,082.77",38,0,8/5/2021,"R41,145.26",27/08/2021,"R41,145",41145,41145.26
23781,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS, 1-100 KM / 1-60 MINUTES","1,082.77",49,0,8/5/2021,"R53,055.73",20/08/2021,"R53,056",53056,53055.73
23782,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS, 1-100 KM / 1-60 MINUTES","1,082.77",52,0,8/5/2021,"R56,304.04",27/08/2021,"R56,304",56304,56304.04
23783,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, 1-100 KM / 1-60 MINUTES","1,146.69",13,0,8/5/2021,"R14,906.97",20/08/2021,"R14,907",14907,14906.97
23784,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, 1-100 KM / 1-60 MINUTES","1,146.69",16,0,8/5/2021,"R18,347.04",27/08/2021,"R18,347",18347,18347.04
23785,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, 1-100 KM / 1-60 MINUTES","1,146.69",32,0,8/5/2021,"R36,694.08",27/08/2021,"R36,694",36694,36694.08
23786,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, ADDITIONAL 15 MINUTES",286.67,12,0,8/5/2021,"R3,440.04",27/08/2021,"R3,440",3440,3440.04
23787,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, ADDITIONAL 15 MINUTES",286.67,23,0,8/5/2021,"R6,593.41",20/08/2021,"R6,593",6593,6593.41
23788,Western Cape - Health,Other,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, ADDITIONAL 15 MINUTES",286.67,23,0,8/5/2021,"R6,593.41",27/08/2021,"R6,593",6593,6593.41
23789,Western Cape - Health,Other,FRONTLINE OFFICE SUPPLIES,"URN , ELECTRIC, 9 LITER","1,600.00",1,0,8/5/2021,"R1,600.00",27/08/2021,"R1,600",1600,1600
23790,Health,PPE000 Other PPEs,VALUE NW INVESTMENTS,PAYMENT FOR TRANSPORT RELIEF FOR MAY 2021 AT RUTH SEGOMOTSI MOMPATI DISTRICT.,0,0,0,8/5/2021,"R5,086,847.50",8/11/2021,"R596,106",596106,5086847.5
23791,Health,PPE000 Other PPEs,VALUE NW INVESTMENTS,TRANSPORTATION OF OFFICIALS CONDUCTING COVID-19 SCREENING AND TESTING.,0,0,0,8/5/2021,"R726,692.50",8/11/2021,"R130,586",130586,726692.5
23799,Western Cape - Health,PPE000 Other PPEs,SUNDRY PAYMENTS,INV MED:SURGICAL/MEDICAL SUPPLS,0,0,0,8/5/2021,"R164,287.20",8/5/2021,"R164,287",164287,164287.2
23800,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS,  ADDITIONAL 15 MINUTES",270.69,13,0,8/5/2021,"R3,518.97",23/09/2021,"R3,519",3519,3518.97
23801,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS,  ADDITIONAL 15 MINUTES",270.69,45,0,8/5/2021,"R12,181.05",9/10/2021,"R12,181",12181,12181.05
23802,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS,  ADDITIONAL 15 MINUTES",270.69,49,0,8/5/2021,"R13,263.81",17/09/2021,"R13,264",13264,13263.81
23803,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS,  ADDITIONAL 15 MINUTES",270.69,50,0,8/5/2021,"R13,534.50",9/10/2021,"R13,535",13535,13534.5
23804,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS, 1-100 KM / 1-60 MINUTES","1,082.77",12,0,8/5/2021,"R12,993.24",23/09/2021,"R12,993",12993,12993.24
23805,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS, 1-100 KM / 1-60 MINUTES","1,082.77",35,0,8/5/2021,"R37,896.95",9/10/2021,"R37,897",37897,37896.95
23806,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS, 1-100 KM / 1-60 MINUTES","1,082.77",35,0,8/5/2021,"R37,896.95",17/09/2021,"R37,897",37897,37896.95
23807,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, BLS, 1-100 KM / 1-60 MINUTES","1,082.77",40,0,8/5/2021,"R43,310.80",9/10/2021,"R43,311",43311,43310.8
23808,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, 1-100 KM / 1-60 MINUTES","1,146.69",15,0,8/5/2021,"R17,200.35",9/10/2021,"R17,200",17200,17200.35
23809,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, 1-100 KM / 1-60 MINUTES","1,146.69",15,0,8/5/2021,"R17,200.35",17/09/2021,"R17,200",17200,17200.35
23810,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, 1-100 KM / 1-60 MINUTES","1,146.69",18,0,8/5/2021,"R20,640.42",23/09/2021,"R20,640",20640,20640.42
23811,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, 1-100 KM / 1-60 MINUTES","1,146.69",30,0,8/5/2021,"R34,400.70",9/10/2021,"R34,401",34401,34400.7
23812,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, ADDITIONAL 15 MINUTES",286.67,21,0,8/5/2021,"R6,020.07",17/09/2021,"R6,020",6020,6020.07
23813,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, ADDITIONAL 15 MINUTES",286.67,23,0,8/5/2021,"R6,593.41",9/10/2021,"R6,593",6593,6593.41
23814,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, ADDITIONAL 15 MINUTES",286.67,23,0,8/5/2021,"R6,593.41",23/09/2021,"R6,593",6593,6593.41
23815,Western Cape - Health,PPE000 Other PPEs,SNYMED PATIENT TRANSPORT SERVICES,"TRANSPORT , PRIVATE AMBULANCE SERVICE, ILS, ADDITIONAL 15 MINUTES",286.67,41,0,8/5/2021,"R11,753.47",9/10/2021,"R11,753",11753,11753.47
23822,Western Cape - Health,PPE015 Non-sterile examination gloves,MEDTEX,0,350,1000,0,8/5/2021,"R350,000.00",27/08/2021,"R350,000",350000,350000
23823,Western Cape - Health,PPE015 Non-sterile examination gloves,MEDTEX,0,350,500,0,8/5/2021,"R175,000.00",20/08/2021,"R175,000",175000,175000
23837,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,"3,152.04",1,Each,8/5/2021,R0.00,,"R3,152",3152,0
23838,Western Cape - Education,PPE021 Sanitising of buildings,LEOVSA,0,"2,587.50",1130,per m2,8/5/2021,R0.00,,"R2,588",2588,0
23839,Western Cape - Education,PPE021 Sanitising of buildings,PEST RELIEVERS,0,1.07,2696,per m2,8/5/2021,R0.00,13/08/2021,"R2,875",2875,0
23840,Western Cape - Education,PPE021 Sanitising of buildings,LEOVSA,0,"5,635.00",3265,per m2,8/5/2021,R0.00,,"R5,635",5635,0
23841,Western Cape - Education,PPE021 Sanitising of buildings,ZAIN AND SONS,0,5.38,409,per m2,8/5/2021,R0.00,31/08/2021,"R2,200",2200,0
23842,Western Cape - Education,PPE021 Sanitising of buildings,ZAIN AND SONS,0,3.29,425,per m2,8/5/2021,R0.00,31/08/2021,"R1,400",1400,0
23843,Gauteng - Health,0,0,0,199.51,2000,EA,8/5/2020,"R399,020.00",,R0,0,399020
23847,Gauteng - Health,Body bag with window and zip large,Navone Medical Supplies,0,79.85,1300,EA,8/5/2020,"R103,805.00",,R0,0,103805
23848,Gauteng - Health,Body bag with window and zip large,Navone Medical Supplies,0,79.85,1300,EA,8/5/2020,"R103,805.00",9/7/2020,"R103,805",103805,103805
23851,Gauteng - Health,Electrical ICU beds with mattress,Stryker,0,"32,785.35",14,EA,8/5/2020,"R458,994.90",,R0,0,458994.9
23852,Gauteng - Health,Emergency Trolley Peads,East Coast Medical,0,"33,283.95",4,EA,8/5/2020,"R133,135.78",,R0,0,133135.78
23855,Gauteng - Health,Gown surgical l/sleeve xl jade green,KGDEE MASH,0,499,2000,EA,8/5/2020,"R998,000.00",,R0,0,998000
23858,Eastern Cape Public Works,Infrastructure,Khethekanye Trading & Projects 347,"Upgrade of Health Facilitiy- St Barnabas Hospital, Libode","78,436.26",10,Other UOM,8/5/2020,"R784,362.67",26/08/2020,"R647,135",647135,784362.67
23859,Gauteng - Infrastructure Development,Infrastructure,Baphatsime Construction and Cleaning Projects,Emergency provision for isolation partitioning at Covid -19 designated areas at Thelle Mogoerane,0,0,Other UOM,8/5/2020,"R3,896,933.45",,R0,0,3896933.45
23860,Gauteng - Infrastructure Development,Infrastructure,Baphatsime Construction and Cleaning Projects,Emergency provision for isolation partitioning at Covid -19 designated areas at Thelle Mogoerane,0,0,Other UOM,8/5/2020,"R7,793,866.90",21/01/2021,"R3,558,411",3558411,7793866.9
23864,Gauteng - Health,Mobile x-ray Machine,SECOND OPINION SYSTEMS,0,"1,609,567.66",1,EA,8/5/2020,"R1,609,567.66",,R0,0,1609567.66
23880,Western Cape - Health,Other,AFROX,REFILLING GAS,539.15,3,0,8/5/2020,"R1,617.45",18/08/2021,"R1,617",1617,1617.45
23886,Western Cape - Health,PPE000 Other PPEs,AFROX,REFILLING GAS,"1,553.24",1,0,8/5/2020,"R1,553.24",13/07/2021,"R1,553",1553,1553.24
23889,Defence,PPE001 Surgical masks for patients,TK Joy 20,0,26.5,20000,Each (Box of 50),8/5/2020,"R530,000.00",14/05/2020,"R530,000",530000,530000
23890,Defence,PPE001 Surgical masks for patients,Dzina 10 Trading Pty Ltd,0,26.5,30000,Each (Box of 50),8/5/2020,"R795,000.00",14/05/2020,"R795,000",795000,795000
23891,Defence,PPE001 Surgical masks for patients,Moreje Construction,0,21,40000,Each (Box of 50),8/5/2020,"R840,000.00",14/05/2020,"R840,000",840000,840000
23892,Defence,PPE001 Surgical masks for patients,Ostak Trading,0,26,40000,Each (Box of 50),8/5/2020,"R1,040,000.00",14/05/2020,"R1,040,000",1040000,1040000
23893,Defence,PPE001 Surgical masks for patients,Roxports (Pty) Ltd,0,21,40000,Each (Box of 50),8/5/2020,"R840,000.00",14/05/2020,"R840,000",840000,840000
23894,Defence,PPE001 Surgical masks for patients,HLCB Holdings,0,26.5,50000,Each (Box of 50),8/5/2020,"R1,325,000.00",5/12/2020,"R1,325,000",1325000,1325000
23895,Defence,PPE001 Surgical masks for patients,MN Group (Pty) Ltd,0,27,50000,Each (Box of 50),8/5/2020,"R1,350,000.00",5/12/2020,"R1,350,000",1350000,1350000
23896,Defence,PPE001 Surgical masks for patients,Ranzi Resourcing,0,27,50000,Each (Box of 50),8/5/2020,"R1,350,000.00",6/5/2020,"R1,350,000",1350000,1350000
23897,Defence,PPE001 Surgical masks for patients,Belph Tradings,0,25.5,50000,Each (Box of 50),8/5/2020,"R1,275,000.00",14/05/2020,"R1,275,000",1275000,1275000
23905,Western Cape - Health,PPE004 Apron,GIBELA TRADE AND INVEST 1001,0,155,180,0,8/5/2020,"R27,900.00",17/12/2020,"R27,900",27900,27900
23936,Eastern Cape - South African Social Security Agency,PPE021 Sanitising of buildings,Celiwave,0,0,0,per m2,8/5/2020,"R7,241.32",21/08/2020,"R7,241",7241,7241.32
23973,Western Cape - Health,Electronics,WEST COAST TECHNOLOGY,0,"2,070.00",10,0,8/4/2021,"R20,700.00",31/08/2021,"R20,700",20700,20700
23974,Western Cape - Health,Electronics,WEST COAST TECHNOLOGY,0,"4,140.00",3,0,8/4/2021,"R12,420.00",31/08/2021,"R12,420",12420,12420
23975,Western Cape - Health,Electronics,WEST COAST TECHNOLOGY,0,"2,070.00",4,0,8/4/2021,"R8,280.00",31/08/2021,"R8,280",8280,8280
23976,Western Cape - Health,Infrastructure,TOP LOOS,0,"2,070.00",1,0,8/4/2021,"R2,070.00",27/08/2021,"R2,070",2070,2070
23980,Western Cape - Health,Other,DPR PHARMACEUTICALS,"CONNECTOR,INTRAVENOUS , VALVE, ENTERAL FEEDING, ADULT",63.25,400,0,8/4/2021,"R25,300.00",18/08/2021,"R25,300",25300,25300
23981,Western Cape - Health,Other,SUNDRY PAYMENTS,CONS HOUS SUP:CROCKERY & CUTLERY,0,0,0,8/4/2021,R969.80,8/4/2021,R970,970,969.8
23982,Western Cape - Health,Other,RESPIRATORY CARE AFRICA,"FILTER,MEDICAL , AIRVO, RCA, PN FIS900PT913","1,355.85",6,0,8/4/2021,"R8,135.10",19/08/2021,"R8,135",8135,8135.1
23983,Western Cape - Health,Other,RESPIRATORY CARE AFRICA,"FILTER,MEDICAL , DISINFECTION FILTER, AIRVO 2, FISHER AND PAYKEL, PN FIS900PT601, PACK OF 2",644,2,0,8/4/2021,"R1,288.00",19/08/2021,"R1,288",1288,1288
23984,Western Cape - Health,Other,SHIKENAHSYNCROMED TECHNOLOGIES,"PAPER,ECG RECORDING","1,092.50",4,0,8/4/2021,"R4,370.00",18/08/2021,"R4,370",4370,4370
23985,Health,PPE000 Other PPEs,PETTY EZWENI CONSTRUCTION ENTERPRISE,"PAYMENT FOR FINGER LUNCH, SOFT DRINK OR 100% JUICE AND 500ML BOTTLE WATER FOR 100 OFFICIALS",0,0,0,8/4/2021,"R9,500.00",24/08/2021,"R9,500",9500,9500
23986,Health,PPE000 Other PPEs,MR T KOTA ENTERPRISE,RENTAL OF 5M X 10M TENT AND 50 CHAIRS FOR 04 DAYS,0,0,0,8/4/2021,"R4,400.00",24/08/2021,"R4,400",4400,4400
23987,Health,PPE000 Other PPEs,UNITY MEDIA EXPLOSION,SUPPLY AND DELIVERY OF TENTS AND CHAIRS FOR 100 PEOPLE,0,0,0,8/4/2021,"R7,400.00",24/08/2021,"R7,400",7400,7400
23988,Health,PPE000 Other PPEs,MOIKGOLODI LOGISTICS,"SUPPLY AND DELIVERY OF TENTS, 100 CHAIRS, VIP TOILETS AT JMMH FROM 18 - 21 MAY 2021",0,0,0,8/4/2021,"R20,000.00",24/08/2021,"R20,000",20000,20000
24001,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,"7,130.00",1,Each,8/4/2021,R0.00,,"R7,130",7130,0
24002,Western Cape - Education,PPE021 Sanitising of buildings,MADAMS TRINITY SERVICES,0,"5,198.95",1,Each,8/4/2021,R0.00,8/6/2021,"R5,199",5199,0
24003,Western Cape - Education,PPE021 Sanitising of buildings,PLAYTIME PRODUCTIONS,0,"1,960.80",1,Each,8/4/2021,R0.00,9/10/2021,"R1,961",1961,0
24004,Western Cape - Education,PPE021 Sanitising of buildings,JDEES ENTERPRISE,0,"6,664.00",1,Each,8/4/2021,R0.00,13/08/2021,"R6,664",6664,0
24005,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,4.63,111.67,per m2,8/4/2021,R0.00,13/08/2021,R518,518,0
24006,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,4.08,126.74,per m2,8/4/2021,R0.00,13/08/2021,R518,518,0
24007,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,3.98,159,per m2,8/4/2021,R0.00,13/08/2021,R633,633,0
24008,Western Cape - Education,PPE021 Sanitising of buildings,SEBENZISANA TRADING 23,0,23.3,184.55,per m2,8/4/2021,R0.00,20/08/2021,"R4,300",4300,0
24009,Western Cape - Education,PPE021 Sanitising of buildings,LEOVSA,0,"4,197.50",2596,per m2,8/4/2021,R0.00,,"R4,198",4198,0
24010,Western Cape - Education,PPE021 Sanitising of buildings,DAFFODIL TRADING 39,0,4,300,per m2,8/4/2021,R0.00,8/6/2021,"R1,200",1200,0
24011,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,1.78,306.4,per m2,8/4/2021,R0.00,13/08/2021,R546,546,0
24012,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,2.32,372,per m2,8/4/2021,R0.00,13/08/2021,R863,863,0
24013,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,1.71,504,per m2,8/4/2021,R0.00,13/08/2021,R863,863,0
24014,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,11.71,54,per m2,8/4/2021,R0.00,13/08/2021,R633,633,0
24015,Western Cape - Education,PPE021 Sanitising of buildings,LEOVSA,0,"1,092.50",569,per m2,8/4/2021,R0.00,,"R1,093",1093,0
24016,Western Cape - Education,PPE021 Sanitising of buildings,DYNAMIC INTEGRATED SOLUTIONS,0,8.21,63,per m2,8/4/2021,R0.00,13/08/2021,R518,518,0
24017,Western Cape - Education,PPE021 Sanitising of buildings,CONNOR PEST CONTROL SERVICE,0,2.03,760,per m2,8/4/2021,R0.00,8/6/2021,"R1,547",1547,0
24018,Western Cape - Education,PPE021 Sanitising of buildings,LEOVSA,0,"1,552.50",769,per m2,8/4/2021,R0.00,,"R1,553",1553,0
24022,Gauteng - Health,Blood gas machine,MEDHOLD MEDICAL,0,"232,017.54",3,EA,8/4/2020,"R696,052.62",,R0,0,696052.62
24023,Gauteng - Health,External DefIbrillator  Manual,PHOENIX NEO MEDICAL,0,"103,916.30",5,EA,8/4/2020,"R519,581.50",,R0,0,519581.5
24024,Gauteng - Health,Fluid warmer,Class Three Medical Solution,0,"81,835.82",1,EA,8/4/2020,"R81,835.82",,R0,0,81835.82
24028,Gauteng - Health,"Fridge, vaccine, 900L-1000L",MINUS 40,0,"59,969.47",1,EA,8/4/2020,"R59,969.47",,R0,0,59969.47
24031,Gauteng - Health,ICU monitor: Mindray T6,RESPIRATORY CARE AFRICA,0,"157,128.60",7,EA,8/4/2020,"R1,099,900.20",,R0,0,1099900.2
24043,Mpumalanga - Health,Other,DANA AGENCY,Travel Agency fees,"15,600.00",1,Other UOM,8/4/2020,"R232,375.00",14/09/2020,"R15,600",15600,232375
24057,Gauteng - Health,Oxygen flow meter item:41112501-00002,East Coast Medical,0,"1,541.80",40,EA,8/4/2020,"R61,672.00",,R0,0,61672
24136,Gauteng - Health,Receptacle polyster linen for carrier,Hospital Equipment Manufacturers,0,443.45,10,EA,8/4/2020,"R4,434.50",,R0,0,4434.5
24137,Gauteng - Health,Receptacle polyster linen for carrier,Hospital Equipment Manufacturers,0,"1,478.17",3,EA,8/4/2020,"R4,434.50",,R0,0,4434.5
24140,Gauteng - Health,"Trolley, Soiled Linen Carrier, with Receptacle",Hospital Equipment Manufacturers,0,"1,190.12",10,EA,8/4/2020,"R11,901.18",,R0,0,11901.18
24141,Gauteng - Health,"Trolley, Soiled Linen Carrier, with Receptacle",Hospital Equipment Manufacturers,0,"1,190.18",3,EA,8/4/2020,"R3,570.54",,R0,0,3570.54
24142,Gauteng - Health,Vital Sign Monitor,Ecomed,0,"13,088.15",10,EA,8/4/2020,"R130,881.50",,R0,0,130881.5
24143,Gauteng - Health,Wall mounted monitors: Mindray uMEC10,RESPIRATORY CARE AFRICA,0,"21,471.60",44,EA,8/4/2020,"R944,750.40",,R0,0,944750.4
24150,Western Cape - Health,PPE000 Other PPEs,SUNDRY PAYMENTS,INV MED:SURGICAL/MEDICAL SUPPLS,0,0,0,8/3/2021,"R1,813.32",8/3/2021,"R1,813",1813,1813.32
24170,Gauteng - Health,"Analyser, glucose (glucometer)",Tecmed,0,486.58,2,EA,8/3/2020,R973.16,,R0,0,973.16
24171,Gauteng - Health,Bed screens,Hospital Equipment Manufacturers,0,"2,525.00",79,EA,8/3/2020,"R199,475.00",,R0,0,199475
24172,Gauteng - Health,Cap theatre balaclava single use 100s,LIORA MEDICAL SUPPLIES,0,2.5,50000,EA,8/3/2020,"R125,000.00",,R0,0,125000
24173,Gauteng - Health,Cap theatre balaclava single use 100s,LIORA MEDICAL SUPPLIES,0,2.5,50000,EA,8/3/2020,"R125,000.00",28/08/2020,"R125,000",125000,125000
24175,Gauteng - Health,Dialysis machine,B Braun,0,"161,000.00",3,EA,8/3/2020,"R483,000.00",,R0,0,483000
24176,Gauteng - Health,ECG Machine,MEDHOLD MEDICAL,0,"57,256.32",1,EA,8/3/2020,"R57,256.32",,R0,0,57256.32
24177,Gauteng - Health,Emegency Light,Ecomed,0,"31,842.44",4,EA,8/3/2020,"R127,369.76",,R0,0,127369.76
24180,Gauteng - Health,Mask face 3ply loops with tie disposable,JONES AND KENT,0,48,250000,EA,8/3/2020,"R12,000,000.00",,R0,0,12000000
24181,Gauteng - Health,Mask face surgical medium disposable,LIORA MEDICAL SUPPLIES,0,374.5,600,Other UOM,8/3/2020,"R224,700.00",,R0,0,224700
24182,Gauteng - Health,MEDICAL FRIDGE,MINUS 40,0,"61,042.81",3,EA,8/3/2020,"R183,128.43",,R0,0,183128.43
24219,Public Works,PPE021 Sanitising of buildings,SKITTERBLINK CLEANING SERVICES,Decontamination for 27 July (3101m²@R 3.22p/m²,0,1,per m2,8/3/2020,"R9,985.23",,R0,0,9985.23
24224,Gauteng - Health,Pupil Torch (Penlight),Tecmed,0,27.6,4,EA,8/3/2020,R110.40,,R0,0,110.4
24225,Gauteng - Health,Ripple Mattresses,ARJO HUNTLEGH SOUTH AFRICA,0,"6,654.16",17,EA,8/3/2020,"R113,120.72",,R0,0,113120.72
24227,Gauteng - Health,V/P shunt set,Premier Endoscopy,0,"64,569.29",2,EA,8/3/2020,"R129,138.58",,R0,0,129138.58
24228,Gauteng - Health,Ventilator,SSEM Mthembu Medical,0,"291,353.12",1,EA,8/3/2020,"R291,353.12",,R0,0,291353.12
24232,Western Cape - Health,Other,SUNDRY PAYMENTS,CONS HOUS SUP:DIS PAPER/PLAST,0,0,0,8/2/2021,R828.00,8/2/2021,R828,828,828
24233,Western Cape - Health,Other,SUNDRY PAYMENTS,CONS HOUS SUP:GROCERIES,0,0,0,8/2/2021,"R3,527.01",8/2/2021,"R3,527",3527,3527.01
24234,Western Cape - Health,Other,SUNDRY PAYMENTS,CONS MAT&SUP:HARDWARE,0,0,0,8/2/2021,"R3,576.00",8/2/2021,"R3,576",3576,3576
24235,Western Cape - Health,Other,SUNDRY PAYMENTS,CONS:SP&OS:STATIONERY,0,0,0,8/2/2021,R289.90,8/2/2021,R290,290,289.9
24236,Western Cape - Health,Other,SUNDRY PAYMENTS,INV MED:SURGICAL/MEDICAL SUPPLS,0,0,0,8/2/2021,"R1,900.00",8/2/2021,"R1,900",1900,1900
24261,Mpumalanga - Health,PPE016 Sterile examination or surgical gloves,EVERGREEN LATEX,0,280.89,1300,Box of 100,8/1/2021,"R3,551,836.87",8/3/2021,"R365,154",365154,3551836.87
24262,Mpumalanga - Health,PPE016 Sterile examination or surgical gloves,EVERGREEN LATEX,0,280.89,1500,Box of 50,8/1/2021,"R3,551,836.87",23/08/2021,"R421,331",421331,3551836.87
24263,Mpumalanga - Health,PPE016 Sterile examination or surgical gloves,EVERGREEN LATEX,0,280.89,1900,Box of 50,8/1/2021,"R3,551,836.87",26/08/2021,"R533,686",533686,3551836.87
